Category,Reviews,Type,Content Rating,Genres,SizeNew,InstallsNew,PriceNew,LastUpdatedNewYear,LastUpdatedNewMonth,LastUpdatedNewDay,AndroidVerNew,ReviewGroupNew
GAME,157264,0,Everyone,Arcade,0.65,10000000,0.0,2016,12,30,4.0,3
GAME,403911,0,Everyone,Card,0.23,10000000,0.0,2018,6,24,4.1,3
GAME,23599,0,Teen,Action,0.96,100000,0.0,2018,6,1,4.0,2
FAMILY,107765,0,Everyone 10+,Strategy,0.78,5000000,0.0,2018,5,25,4.1,3
GAME,15829,0,Everyone,Racing,0.95,1000000,0.0,2018,7,24,4.0,2
MEDICAL,0,0,Everyone,Medical,0.29,100,0.0,2018,1,10,4.0,0
GAME,21262,0,Everyone,Puzzle,0.29,1000000,0.0,2018,8,3,4.4,2
BUSINESS,3,1,Everyone,Business,0.11,10,2.49,2014,6,30,2.2,0
PRODUCTIVITY,5157,0,Everyone,Productivity,0.3928871096877502,500000,0.0,2018,7,31,3.8377519379844967,2
MEDICAL,122,0,Everyone,Medical,9.8,10000,0.0,2018,7,13,4.0,1
PHOTOGRAPHY,4865093,0,Everyone,Photography,0.51,100000000,0.0,2018,8,6,4.0,3
TOOLS,448,0,Everyone,Tools,0.26,100000,0.0,2018,7,30,4.2,1
GAME,562345,0,Teen,Casino,0.3928871096877502,10000000,0.0,2018,7,23,3.8377519379844967,3
FAMILY,834,0,Everyone,Puzzle;Education,0.22,100000,0.0,2018,3,15,4.0,1
LIFESTYLE,1,0,Everyone,Lifestyle,0.24,100,0.0,2018,2,5,4.1,0
GAME,15,0,Everyone,Arcade,0.032,50,0.0,2017,7,5,4.0,0
PRODUCTIVITY,115072,0,Everyone,Productivity,0.3928871096877502,5000000,0.0,2018,7,31,3.8377519379844967,3
TOOLS,11449,0,Everyone,Tools,0.017,500000,0.0,2016,2,2,2.0,2
BEAUTY,66,0,Everyone,Beauty,0.028999999999999998,10000,0.0,2018,4,5,4.0,1
COMMUNICATION,5,0,Teen,Communication,0.024,100,0.0,2016,4,27,2.3,0
FAMILY,61,0,Everyone,Casual;Brain Games,0.25,1000,0.0,2017,1,26,4.0,1
FAMILY,1318,0,Teen,Simulation,0.24,50000,0.0,2018,3,5,4.1,2
FINANCE,685,0,Everyone,Finance,0.21,50000,0.0,2018,8,3,4.4,1
BUSINESS,1,0,Everyone,Business,0.078,100,0.0,2014,7,23,2.0,0
GAME,2610526,0,Everyone,Arcade,0.46,100000000,0.0,2018,7,3,4.1,3
PERSONALIZATION,37,0,Teen,Personalization,0.15,5000,0.0,2017,2,26,4.1,1
FAMILY,1853,0,Everyone,Entertainment,0.057999999999999996,500000,0.0,2018,5,10,4.0,2
BUSINESS,14,0,Everyone,Business,0.033,50,0.0,2018,2,1,4.0,0
TOOLS,3315,0,Everyone,Tools,0.051,500000,0.0,2018,5,15,4.1,2
BUSINESS,308,0,Everyone,Business,0.14,50000,0.0,2018,5,29,4.0,1
ENTERTAINMENT,42050,0,Teen,Entertainment,0.3928871096877502,1000000,0.0,2018,8,3,3.8377519379844967,3
FINANCE,0,1,Everyone,Finance,0.14,1,28.99,2018,7,12,4.2,0
FAMILY,121321,0,Everyone,Entertainment,0.46,5000000,0.0,2016,10,22,4.0,3
GAME,100,1,Everyone,Adventure,0.17,1000,3.99,2016,4,7,4.1,1
ART_AND_DESIGN,149,1,Everyone,Art & Design,0.035,1000,1.99,2018,7,30,4.1,1
TOOLS,33926,0,Everyone,Tools,0.17,1000000,0.0,2018,8,3,4.2,3
SPORTS,1,0,Everyone,Sports,0.09,1,0.0,2018,5,29,5.0,0
FINANCE,4,0,Everyone,Finance,0.3928871096877502,100,0.0,2018,8,1,3.8377519379844967,0
TOOLS,315585,0,Everyone,Tools,0.085,10000000,0.0,2018,7,18,5.0,3
SOCIAL,3,0,Teen,Social,0.024,50,0.0,2018,7,11,4.0,0
FAMILY,1,1,Everyone,Education,0.013999999999999999,50,2.0,2015,9,27,1.6,0
FAMILY,1,0,Everyone,Entertainment,0.065,50,0.0,2018,6,9,4.2,0
FAMILY,138,0,Everyone,Education,0.062,10000,0.0,2018,5,31,4.1,1
GAME,1397944,0,Teen,Action,0.5,10000000,0.0,2018,7,31,4.4,3
NEWS_AND_MAGAZINES,30287,0,Everyone 10+,News & Magazines,0.19,1000000,0.0,2018,8,3,4.1,3
HOUSE_AND_HOME,65913,0,Everyone,House & Home,0.077,5000000,0.0,2018,7,16,4.0,3
TOOLS,801054,0,Everyone,Tools,0.08900000000000001,10000000,0.0,2018,8,1,4.1,3
FAMILY,10,0,Teen,Puzzle,0.08199999999999999,1000,0.0,2016,12,2,4.0,0
WEATHER,15,0,Everyone,Weather,0.1,1000,0.0,2017,2,20,4.4,0
FAMILY,166,0,Everyone,Entertainment,0.026000000000000002,10000,0.0,2017,5,24,3.1,1
TOOLS,55,0,Everyone,Tools,0.013999999999999999,5000,0.0,2017,9,12,5.0,1
COMMUNICATION,1436,0,Everyone,Communication,0.2,100000,0.0,2013,8,26,1.6,2
HEALTH_AND_FITNESS,38487,0,Teen,Health & Fitness,0.6,1000000,0.0,2018,7,3,4.1,3
SHOPPING,20476,0,Everyone,Shopping,0.28,1000000,0.0,2018,7,17,4.4,2
FAMILY,410,0,Teen,Entertainment,0.28,10000,0.0,2017,12,18,4.0,1
FAMILY,0,0,Teen,Entertainment,0.13,10,0.0,2017,5,17,4.1,0
FAMILY,2,0,Everyone,Casual,0.16,100,0.0,2017,7,9,4.0,0
FINANCE,347,0,Everyone,Finance,0.25,10000,0.0,2018,2,6,4.1,1
PHOTOGRAPHY,28107,1,Everyone,Photography,0.057,500000,2.99,2018,6,11,4.0,3
FAMILY,39109,0,Everyone,Entertainment,0.04,1000000,0.0,2017,12,20,4.0,3
MEDICAL,1,0,Everyone,Medical,0.46,50,0.0,2018,5,21,4.4,0
EVENTS,110,0,Teen,Events,0.026000000000000002,5000,0.0,2018,6,5,4.0,1
TOOLS,27,0,Everyone,Tools,0.034,5000,0.0,2016,5,17,4.0,1
BOOKS_AND_REFERENCE,156,0,Everyone,Books & Reference,0.021,10000,0.0,2018,6,11,2.3,1
GAME,191,0,Everyone,Trivia,0.07200000000000001,5000,0.0,2018,7,31,4.1,1
GAME,725897,0,Teen,Action,0.31,10000000,0.0,2018,8,3,4.1,3
PHOTOGRAPHY,2,0,Everyone,Photography,0.042,100,0.0,2018,1,17,4.1,0
FINANCE,3,0,Everyone,Finance,0.055,100,0.0,2018,7,18,4.0,0
PRODUCTIVITY,13500,0,Everyone,Productivity,0.3928871096877502,10000000,0.0,2017,12,11,3.8377519379844967,2
TOOLS,127223,0,Everyone,Tools,0.076,10000000,0.0,2018,8,3,5.0,3
PARENTING,658087,0,Everyone,Parenting,0.62,10000000,0.0,2018,5,24,5.0,3
SHOPPING,4602,0,Everyone,Shopping,0.062,500000,0.0,2017,12,22,4.1,2
MEDICAL,21189,0,Everyone,Medical,0.36,1000000,0.0,2018,8,6,5.0,2
TOOLS,9,1,Everyone,Tools,0.33,50,2.99,2018,5,3,4.3,0
SOCIAL,0,0,Everyone,Social,0.3928871096877502,1000,0.0,2017,5,27,3.8377519379844967,0
TOOLS,148506,0,Everyone,Tools,0.11,5000000,0.0,2018,7,15,3.8377519379844967,3
SOCIAL,5285,0,Everyone,Social,0.04,500000,0.0,2018,7,1,4.1,2
BOOKS_AND_REFERENCE,42729,0,Everyone,Books & Reference,0.3928871096877502,5000000,0.0,2014,11,26,3.8377519379844967,3
FAMILY,44636,0,Everyone,Simulation,0.3928871096877502,1000000,0.0,2017,1,23,3.8377519379844967,3
FINANCE,693,0,Teen,Finance,0.32,100000,0.0,2018,5,3,4.2,1
FAMILY,0,0,Everyone,Puzzle,0.046,10,0.0,2017,8,23,4.0,0
GAME,212524,0,Everyone,Role Playing,0.93,5000000,0.0,2018,7,24,4.0,3
BOOKS_AND_REFERENCE,0,1,Everyone,Books & Reference,6.88,5,0.99,2015,6,17,2.3,0
BOOKS_AND_REFERENCE,2,1,Everyone,Books & Reference,0.17,10,5.99,2016,11,2,1.6,0
FINANCE,1992,0,Everyone,Finance,0.24,50000,0.0,2018,6,20,5.0,2
BOOKS_AND_REFERENCE,1,1,Everyone,Books & Reference,0.12,10,5.49,2017,8,10,1.6,0
WEATHER,18425,0,Everyone,Weather,0.053,1000000,0.0,2017,7,29,4.1,2
MAPS_AND_NAVIGATION,3596,0,Everyone,Maps & Navigation,0.31,1000000,0.0,2018,6,15,4.0,2
LIBRARIES_AND_DEMO,48,0,Everyone,Libraries & Demo,0.069,1000,0.0,2018,5,25,4.0,1
HEALTH_AND_FITNESS,4,0,Everyone,Health & Fitness,0.078,100,0.0,2018,7,9,4.1,0
TOOLS,498894,0,Everyone,Tools,0.1,50000000,0.0,2018,8,2,4.0,3
GAME,407788,0,Everyone,Action,0.19,5000000,0.0,2013,7,18,2.1,3
FAMILY,856,0,Everyone,Entertainment,0.028999999999999998,5000,0.0,2018,7,17,2.1,1
SHOPPING,15867,0,Everyone,Shopping,0.3928871096877502,5000000,0.0,2018,8,6,4.0,2
PHOTOGRAPHY,0,1,Everyone,Photography,0.017,10,2.0,2018,4,29,4.0,0
SOCIAL,3,0,Teen,Social,0.053,100,0.0,2017,9,22,4.1,0
FAMILY,57,1,Everyone,Education,0.3928871096877502,1000,2.49,2018,4,9,3.8377519379844967,1
SOCIAL,344921,0,Everyone,Social,0.3928871096877502,10000000,0.0,2018,6,7,3.8377519379844967,3
FAMILY,153,0,Everyone,Simulation,0.3928871096877502,10000,0.0,2018,8,3,7.0,1
COMMUNICATION,1,0,Everyone,Communication,6.83,50,0.0,2015,9,3,2.3,0
PERSONALIZATION,273994,0,Everyone,Personalization,0.12,10000000,0.0,2018,7,23,4.4,3
GAME,56,1,Everyone,Board,0.23,1000,0.99,2014,12,6,2.3,1
PARENTING,319,0,Everyone,Parenting,0.11,100000,0.0,2018,7,12,4.0,1
MAPS_AND_NAVIGATION,124,0,Everyone,Maps & Navigation,0.034,1000,0.0,2018,3,26,3.8377519379844967,1
MEDICAL,0,1,Everyone,Medical,0.02,50,0.99,2017,10,5,4.0,0
GAME,101,0,Everyone,Arcade,0.31,10000,0.0,2017,3,14,4.0,1
NEWS_AND_MAGAZINES,0,0,Everyone,News & Magazines,0.017,5,0.0,2018,6,9,4.0,0
NEWS_AND_MAGAZINES,65,0,Everyone,News & Magazines,0.035,10000,0.0,2018,4,29,4.0,1
TOOLS,4,0,Everyone,Tools,0.031,100,0.0,2017,9,19,4.1,0
COMMUNICATION,0,0,Everyone,Communication,0.2,50,0.0,2018,5,27,4.2,0
TOOLS,216,0,Everyone,Tools,8.11,10000,0.0,2014,11,9,1.0,1
PHOTOGRAPHY,333,0,Everyone,Photography,0.018000000000000002,50000,0.0,2017,11,22,4.0,1
GAME,6074334,0,Teen,Arcade,1.0,100000000,0.0,2018,7,25,4.1,3
HEALTH_AND_FITNESS,39068,0,Everyone,Health & Fitness,0.04,500000,0.0,2018,7,7,4.1,3
FAMILY,24137,0,Everyone,Education,0.3928871096877502,5000000,0.0,2018,6,25,3.8377519379844967,2
SPORTS,2980,0,Everyone,Sports,0.21,100000,0.0,2015,9,1,2.3,2
BOOKS_AND_REFERENCE,111,0,Everyone,Books & Reference,0.1,5000,0.0,2018,5,21,4.1,1
VIDEO_PLAYERS,1236,0,Everyone,Video Players & Editors,0.33,100000,0.0,2013,7,17,2.2,2
GAME,151,0,Everyone,Racing,1.0,10000,0.0,2018,5,20,4.1,1
FAMILY,4656,1,Everyone 10+,Strategy,0.2,100000,2.99,2017,12,8,4.0,2
FAMILY,17,0,Everyone,Strategy,0.5,1000,0.0,2018,3,16,4.1,0
FAMILY,23302,0,Everyone,Puzzle,0.12,5000000,0.0,2018,3,24,4.0,2
HEALTH_AND_FITNESS,0,0,Everyone,Health & Fitness,0.087,10,0.0,2018,5,15,4.1,0
TOOLS,257,1,Everyone,Tools,1.6,5000,4.99,2015,3,14,1.6,1
FAMILY,10088,0,Everyone,Casual;Action & Adventure,0.3928871096877502,1000000,0.0,2018,3,8,4.1,2
BUSINESS,87,0,Everyone,Business,0.051,10000,0.0,2017,7,15,4.1,1
DATING,31320,0,Mature 17+,Dating,0.53,5000000,0.0,2018,7,30,4.1,3
HEALTH_AND_FITNESS,10,0,Everyone,Health & Fitness,0.033,1000,0.0,2018,4,5,4.4,0
SOCIAL,315441,0,Everyone,Social,0.3928871096877502,10000000,0.0,2018,7,26,3.8377519379844967,3
PRODUCTIVITY,564759,0,Everyone,Productivity,0.3928871096877502,10000000,0.0,2018,7,27,3.8377519379844967,3
FAMILY,28737,0,Everyone,Casual;Action & Adventure,0.17,1000000,0.0,2016,2,5,2.3,3
AUTO_AND_VEHICLES,138,0,Everyone,Auto & Vehicles,0.054000000000000006,100000,0.0,2018,7,23,4.0,1
HEALTH_AND_FITNESS,48226,0,Everyone,Health & Fitness,0.28,1000000,0.0,2018,3,5,4.0,3
SHOPPING,30834,0,Everyone,Shopping,0.13,1000000,0.0,2018,7,17,4.0,3
BOOKS_AND_REFERENCE,0,0,Everyone,Books & Reference,0.037000000000000005,5,0.0,2018,5,25,4.1,0
LIFESTYLE,305,0,Everyone,Lifestyle,0.44,10000,0.0,2017,7,4,4.4,1
FOOD_AND_DRINK,90042,0,Everyone,Food & Drink,0.3928871096877502,10000000,0.0,2018,7,18,3.8377519379844967,3
ENTERTAINMENT,46618,0,Teen,Entertainment,0.3928871096877502,5000000,0.0,2018,7,19,3.8377519379844967,3
FAMILY,138,0,Everyone,Education,0.021,10000,0.0,2017,9,22,3.0,1
PERSONALIZATION,1623,0,Mature 17+,Personalization,0.11,1000000,0.0,2018,6,23,4.0,2
HEALTH_AND_FITNESS,328469,0,Teen,Health & Fitness,0.3928871096877502,10000000,0.0,2018,8,1,3.8377519379844967,3
FAMILY,16041,0,Everyone,Entertainment,0.073,1000000,0.0,2018,7,5,4.3,2
COMMUNICATION,2511130,0,Everyone,Communication,0.3928871096877502,50000000,0.0,2018,7,2,3.8377519379844967,3
MEDICAL,0,0,Everyone,Medical,0.65,100,0.0,2018,7,23,5.0,0
FAMILY,530792,0,Everyone,Role Playing;Action & Adventure,0.3928871096877502,10000000,0.0,2018,5,30,3.8377519379844967,3
BOOKS_AND_REFERENCE,4620,0,Everyone,Books & Reference,0.19,500000,0.0,2017,11,23,4.0,2
PERSONALIZATION,126,0,Everyone,Personalization,0.08,10000,0.0,2017,10,19,2.0,1
SOCIAL,0,0,Teen,Social,0.081,10,0.0,2016,11,1,4.4,0
MEDICAL,0,0,Everyone,Medical,0.049,100,0.0,2018,3,24,4.0,0
GAME,23,1,Everyone,Board,0.37,1000,0.99,2017,12,27,4.1,1
FAMILY,117461,0,Everyone,Entertainment;Music & Video,0.3928871096877502,5000000,0.0,2018,6,29,3.8377519379844967,3
GAME,46801,0,Everyone,Card,0.6,1000000,0.0,2018,8,3,4.1,3
BOOKS_AND_REFERENCE,568922,0,Teen,Books & Reference,0.3928871096877502,100000000,0.0,2018,8,1,3.8377519379844967,3
BUSINESS,27,0,Everyone,Business,0.18,5000,0.0,2018,5,17,5.0,1
TOOLS,46,0,Everyone,Tools,0.24,1000,0.0,2018,5,18,4.1,1
FAMILY,16,0,Everyone,Education,0.078,100,0.0,2018,7,29,4.1,0
BUSINESS,3,0,Everyone,Business,0.054000000000000006,100,0.0,2018,7,24,4.4,0
SPORTS,4272,0,Everyone,Sports,0.16,500000,0.0,2018,4,23,4.1,2
FINANCE,413,0,Everyone,Finance,0.13,10000,0.0,2018,5,30,5.0,1
FAMILY,104,0,Everyone,Education;Education,0.12,10000,0.0,2018,5,21,4.1,1
BUSINESS,70991,0,Everyone,Business,0.3928871096877502,5000000,0.0,2018,7,24,4.4,3
FAMILY,7203,0,Everyone,Simulation,0.32,1000000,0.0,2016,1,11,4.0,2
TOOLS,330468,0,Everyone,Tools,0.3928871096877502,10000000,0.0,2018,5,29,3.8377519379844967,3
HEALTH_AND_FITNESS,21,0,Everyone,Health & Fitness,0.022000000000000002,1000,0.0,2015,10,30,4.0,0
SPORTS,4011,0,Teen,Sports,0.026000000000000002,500000,0.0,2018,7,1,2.3,2
FAMILY,11,1,Everyone 10+,Action;Action & Adventure,0.2,500,1.99,2016,5,3,4.1,0
DATING,23170,0,Mature 17+,Dating,0.09,500000,0.0,2018,7,25,4.1,2
MAPS_AND_NAVIGATION,204,0,Everyone,Maps & Navigation,0.11,10000,0.0,2017,5,29,4.0,1
BUSINESS,10,0,Everyone,Business,0.55,500,0.0,2018,3,14,4.0,0
FAMILY,397147,0,Teen,Entertainment,0.3928871096877502,10000000,0.0,2018,8,2,3.8377519379844967,3
TOOLS,4847,0,Everyone,Tools,0.032,100000,0.0,2016,6,29,4.0,2
FAMILY,322976,0,Teen,Simulation,0.3928871096877502,5000000,0.0,2018,6,13,4.2,3
TOOLS,97,0,Everyone,Tools,0.99,5000,0.0,2018,6,29,4.1,1
GAME,2698348,0,Everyone,Action,0.78,100000000,0.0,2018,7,31,4.1,3
BUSINESS,9555,0,Everyone,Business,0.047,1000000,0.0,2018,7,19,4.1,2
GAME,20691,0,Everyone,Racing,0.89,1000000,0.0,2018,7,31,4.4,2
TOOLS,8,0,Everyone,Tools,0.022000000000000002,1000,0.0,2018,8,7,5.0,0
FAMILY,1443,0,Mature 17+,Entertainment,0.2,100000,0.0,2018,1,18,2.3,2
GAME,125578,0,Everyone,Action,0.17,5000000,0.0,2015,7,6,2.1,3
FOOD_AND_DRINK,1,0,Everyone,Food & Drink,0.19,10,0.0,2017,3,29,4.1,0
FAMILY,42515,0,Everyone,Casual,0.016,5000000,0.0,2018,5,23,2.0,3
HEALTH_AND_FITNESS,32,0,Everyone,Health & Fitness,0.096,1000,0.0,2018,5,22,4.3,1
SPORTS,37167,0,Everyone,Sports,0.3928871096877502,1000000,0.0,2018,7,30,4.4,3
NEWS_AND_MAGAZINES,58,1,Everyone,News & Magazines,0.038,500,2.99,2018,5,26,5.0,1
SPORTS,521138,0,Everyone 10+,Sports,0.3928871096877502,10000000,0.0,2018,7,19,5.0,3
PHOTOGRAPHY,3492,0,Everyone,Photography,0.17,5000000,0.0,2018,6,14,7.0,2
BOOKS_AND_REFERENCE,361780,0,Everyone,Books & Reference,0.09699999999999999,10000000,0.0,2018,5,30,2.3,3
LIFESTYLE,30,0,Everyone,Lifestyle,0.052000000000000005,5000,0.0,2015,3,4,4.0,1
FAMILY,201631,0,Everyone,Puzzle,0.96,5000000,0.0,2018,6,1,4.1,3
FAMILY,25,0,Everyone,Education,0.3928871096877502,1000,0.0,2018,1,29,4.0,1
DATING,478,0,Mature 17+,Dating,0.045,10000,0.0,2018,6,28,4.0,1
DATING,37053,0,Mature 17+,Dating,0.44,1000000,0.0,2018,8,3,4.1,3
MEDICAL,0,0,Everyone,Medical,0.069,50,0.0,2018,7,15,4.1,0
GAME,49971,0,Everyone,Arcade,0.61,5000000,0.0,2017,8,29,4.0,3
FAMILY,2736,0,Everyone,Entertainment,0.3928871096877502,100000,0.0,2018,8,3,4.1,2
DATING,212626,0,Mature 17+,Dating,0.11,10000000,0.0,2018,7,31,4.1,3
FAMILY,642,1,Everyone 10+,Arcade;Action & Adventure,0.26,10000,1.99,2015,8,11,2.0,1
FINANCE,124424,0,Everyone,Finance,0.3928871096877502,10000000,0.0,2018,6,26,4.2,3
MEDICAL,2,0,Everyone,Medical,0.071,5,0.0,2018,8,3,8.0,0
FAMILY,19,0,Everyone,Educational;Education,0.31,5000,0.0,2018,6,29,4.1,0
FINANCE,42644,0,Everyone,Finance,0.19,5000000,0.0,2018,6,28,4.2,3
GAME,278,0,Teen,Trivia,0.024,10000,0.0,2017,2,11,2.3,1
SHOPPING,662287,0,Everyone,Shopping,0.21,10000000,0.0,2018,8,3,4.1,3
FAMILY,0,0,Everyone,Education,0.075,5,0.0,2018,6,9,4.1,0
HEALTH_AND_FITNESS,13,0,Everyone,Health & Fitness,0.033,1000,0.0,2015,10,13,4.0,0
COMMUNICATION,9498,0,Everyone,Communication,1.18,1000000,0.0,2016,6,7,2.3,2
FAMILY,1279,0,Everyone,Casual,0.13,100000,0.0,2018,6,13,4.3,2
HEALTH_AND_FITNESS,0,0,Everyone,Health & Fitness,0.43,1,0.0,2018,7,4,4.1,0
EDUCATION,29855,0,Mature 17+,Education,0.3928871096877502,1000000,0.0,2018,7,29,3.8377519379844967,3
TOOLS,15693,0,Everyone,Tools,0.18,1000000,0.0,2018,8,3,4.2,2
NEWS_AND_MAGAZINES,1380,0,Everyone,News & Magazines,0.3928871096877502,100000,0.0,2018,7,26,4.1,2
TOOLS,789,0,Everyone,Tools,0.3928871096877502,50000,0.0,2014,8,5,3.8377519379844967,1
LIFESTYLE,0,0,Everyone,Lifestyle,0.031,50,0.0,2018,6,21,4.0,0
FAMILY,1691,0,Everyone,Strategy,0.057999999999999996,500000,0.0,2016,6,8,4.0,2
FINANCE,25508,0,Everyone,Finance,0.3928871096877502,1000000,0.0,2018,7,31,4.2,2
TOOLS,0,0,Everyone,Tools,0.04,100,0.0,2015,6,15,4.0,0
FAMILY,89947,0,Everyone 10+,Strategy,0.22,5000000,0.0,2018,2,9,4.0,3
DATING,40035,0,Mature 17+,Dating,0.065,1000000,0.0,2018,7,27,4.0,3
TOOLS,2,0,Everyone,Tools,0.027000000000000003,100,0.0,2017,10,10,4.4,0
FAMILY,19727,0,Teen,Simulation,0.76,1000000,0.0,2018,7,3,4.1,2
PRODUCTIVITY,26559,0,Everyone,Productivity,0.3928871096877502,10000000,0.0,2017,4,14,3.8377519379844967,3
FAMILY,16,0,Everyone,Education,0.17,1000,0.0,2018,4,19,4.1,0
FAMILY,1405,1,Everyone,Puzzle,0.095,10000,1.2,2018,6,5,2.3,2
EVENTS,4,0,Everyone,Events,0.61,500,0.0,2018,7,24,4.4,0
MAPS_AND_NAVIGATION,891,0,Everyone,Maps & Navigation,0.064,50000,0.0,2018,7,26,4.1,2
GAME,80,0,Everyone,Trivia,0.076,10000,0.0,2018,6,6,4.1,1
DATING,277,0,Mature 17+,Dating,0.057,100000,0.0,2017,12,4,4.1,1
EVENTS,3782,0,Everyone,Events,0.095,100000,0.0,2018,6,12,4.0,2
BEAUTY,30,0,Mature 17+,Beauty,0.099,10000,0.0,2018,1,24,3.0,1
FAMILY,847,0,Everyone,Education,0.21,10000,0.0,2018,7,16,4.0,1
MAPS_AND_NAVIGATION,55313,0,Everyone,Maps & Navigation,0.16,1000000,0.0,2018,8,5,4.1,3
ENTERTAINMENT,256664,0,Everyone,Entertainment,0.77,10000000,0.0,2018,5,4,4.0,3
FINANCE,2,0,Everyone,Finance,0.027000000000000003,100,0.0,2016,2,19,4.0,0
SOCIAL,285816,0,Mature 17+,Social,0.3928871096877502,10000000,0.0,2018,6,19,3.8377519379844967,3
MEDICAL,1,0,Everyone,Medical,0.055999999999999994,10,0.0,2018,7,27,4.1,0
BUSINESS,3,0,Everyone,Business,0.23,100,0.0,2018,7,24,4.4,0
TRAVEL_AND_LOCAL,1291,0,Everyone,Travel & Local,0.4,50000,0.0,2017,10,18,4.4,2
FINANCE,139,0,Everyone,Finance,0.033,10000,0.0,2017,6,19,4.0,1
FINANCE,67,1,Everyone,Finance,0.024,10000,2.99,2017,7,3,3.2,1
PERSONALIZATION,1,0,Teen,Personalization,0.11,50,0.0,2016,10,2,2.0,0
GAME,6427773,0,Everyone,Trivia,0.95,100000000,0.0,2018,8,3,4.1,3
PRODUCTIVITY,2303,0,Everyone,Productivity,0.15,100000,0.0,2018,8,2,4.0,2
PHOTOGRAPHY,15098,0,Everyone,Photography,0.1,1000000,0.0,2017,3,3,2.3,2
BUSINESS,44,0,Everyone,Business,0.3,10000,0.0,2018,6,19,4.1,1
SOCIAL,40,0,Everyone,Social,0.015,5000,0.0,2017,2,17,4.2,1
FAMILY,70753,0,Everyone,Puzzle,0.14,5000000,0.0,2018,8,7,4.0,3
PRODUCTIVITY,10672,0,Everyone,Productivity,0.069,100000,0.0,2018,6,23,4.1,2
FINANCE,25166,0,Everyone,Finance,0.11,1000000,0.0,2018,7,25,4.1,2
COMMUNICATION,132014,0,Everyone,Communication,0.25,10000000,0.0,2018,7,18,4.2,3
TOOLS,1129,1,Everyone,Tools,0.017,10000,0.99,2018,6,30,4.1,2
BOOKS_AND_REFERENCE,4478,0,Everyone 10+,Books & Reference,0.095,100000,0.0,2017,7,31,4.0,2
EVENTS,20611,0,Teen,Events,0.12,1000000,0.0,2018,7,18,4.1,2
MAPS_AND_NAVIGATION,258,0,Everyone,Maps & Navigation,0.069,50000,0.0,2017,12,24,4.0,1
SHOPPING,308234,0,Everyone,Shopping,0.38,10000000,0.0,2018,8,2,4.0,3
SPORTS,6,0,Everyone,Sports,0.26,100,0.0,2018,3,2,4.1,0
PRODUCTIVITY,7,0,Everyone,Productivity,0.1,50,0.0,2018,7,19,4.1,0
TOOLS,56848,0,Everyone,Tools,0.096,1000000,0.0,2018,5,18,4.1,3
GAME,1221896,0,Everyone,Action,0.7,100000000,0.0,2018,7,12,4.2,3
VIDEO_PLAYERS,3546,0,Everyone,Video Players & Editors,0.037000000000000005,1000000,0.0,2018,5,27,4.1,2
FAMILY,2178,0,Everyone,Racing;Action & Adventure,0.99,500000,0.0,2017,8,23,4.1,2
PRODUCTIVITY,1188154,0,Everyone,Productivity,0.24,10000000,0.0,2018,6,14,4.1,3
BUSINESS,51507,0,Everyone,Business,0.3928871096877502,5000000,0.0,2018,8,2,3.8377519379844967,3
LIBRARIES_AND_DEMO,3,0,Everyone,Libraries & Demo,0.19,100,0.0,2017,8,17,2.3,0
LIFESTYLE,246201,0,Everyone,Lifestyle,0.3928871096877502,10000000,0.0,2018,7,23,3.8377519379844967,3
FAMILY,36268,0,Teen,Entertainment,0.41,1000000,0.0,2017,4,25,4.2,3
GAME,230710,0,Everyone,Word,0.87,10000000,0.0,2018,8,2,4.1,3
LIFESTYLE,118034,0,Everyone,Lifestyle,0.3928871096877502,5000000,0.0,2018,8,2,3.8377519379844967,3
EVENTS,49,0,Everyone,Events,0.13,1000,0.0,2018,7,8,4.4,1
FAMILY,8,0,Everyone,Entertainment,0.038,500,0.0,2018,1,12,4.0,0
TOOLS,417,0,Everyone,Tools,0.15,10000,0.0,2018,4,26,4.2,1
DATING,41605,0,Mature 17+,Dating,0.081,500000,0.0,2018,7,26,4.0,3
PERSONALIZATION,19,0,Everyone,Personalization,0.11,1000,0.0,2016,6,27,2.0,0
EDUCATION,13791,0,Everyone,Education,0.3928871096877502,500000,0.0,2018,6,6,3.8377519379844967,2
LIBRARIES_AND_DEMO,54,0,Everyone,Libraries & Demo,0.059000000000000004,10000,0.0,2018,7,4,4.0,1
PRODUCTIVITY,25370,0,Everyone,Productivity,0.3928871096877502,1000000,0.0,2018,8,6,3.8377519379844967,2
LIFESTYLE,220,0,Everyone,Lifestyle,0.15,50000,0.0,2018,7,26,5.0,1
FINANCE,0,0,Everyone,Finance,0.028999999999999998,100,0.0,2018,7,3,4.1,0
TRAVEL_AND_LOCAL,890,0,Everyone,Travel & Local;Action & Adventure,0.076,100000,0.0,2017,8,9,4.4,2
LIFESTYLE,17,0,Everyone,Lifestyle,0.031,5000,0.0,2018,7,29,4.4,0
GAME,229329,0,Mature 17+,Action,0.88,10000000,0.0,2017,12,4,4.1,3
PERSONALIZATION,0,0,Everyone,Personalization,0.03,500,0.0,2018,3,19,4.0,0
BOOKS_AND_REFERENCE,283,0,Everyone 10+,Books & Reference,0.054000000000000006,10000,0.0,2018,1,12,4.0,1
GAME,14,0,Everyone,Arcade,0.16,100,0.0,2017,6,19,4.1,0
TOOLS,436615,0,Everyone,Tools,0.1,10000000,0.0,2018,6,5,4.0,3
