Category,Reviews,Type,Content Rating,Genres,SizeNew,InstallsNew,PriceNew,LastUpdatedNewYear,LastUpdatedNewMonth,LastUpdatedNewDay,AndroidVerNew,ReviewGroupNew
PERSONALIZATION,35,1,Everyone,Personalization,0.24,1000,3.99,2016,4,2,4.1,1
AUTO_AND_VEHICLES,12,0,Everyone,Auto & Vehicles,0.19,5000,0.0,2018,5,29,4.0,0
FAMILY,10053186,0,Everyone,Casual,0.94,100000000,0.0,2018,6,28,4.0,3
PERSONALIZATION,78,0,Everyone,Personalization,0.1,10000,0.0,2016,6,20,2.0,1
FAMILY,4522,0,Everyone,Educational;Education,0.57,500000,0.0,2018,6,21,4.1,2
TOOLS,4210,0,Everyone,Tools,0.019,100000,0.0,2018,6,18,4.1,2
FINANCE,218,0,Everyone,Finance,0.3928871096877502,10000,0.0,2017,6,8,3.8377519379844967,1
NEWS_AND_MAGAZINES,0,0,Teen,News & Magazines,0.034,100,0.0,2018,4,12,4.0,0
NEWS_AND_MAGAZINES,8011,0,Everyone 10+,News & Magazines,0.13,500000,0.0,2018,6,13,4.1,2
LIFESTYLE,707,0,Everyone,Lifestyle,0.05,100000,0.0,2018,5,9,4.1,1
TOOLS,138872,0,Everyone,Tools,0.22,10000000,0.0,2018,5,15,4.1,3
FINANCE,634,0,Everyone,Finance,0.02,50000,0.0,2013,10,4,2.1,1
SPORTS,36,0,Everyone,Sports,0.026000000000000002,100,0.0,2017,2,11,4.0,1
FAMILY,688,0,Everyone,Simulation,0.26,50000,0.0,2016,9,20,4.0,1
COMMUNICATION,13100,0,Everyone,Communication,0.022000000000000002,1000000,0.0,2018,3,20,4.0,2
TOOLS,0,0,Everyone,Tools,0.094,100,0.0,2018,7,3,4.0,0
TOOLS,2,0,Everyone,Tools,0.042,500,0.0,2017,3,2,4.0,0
MEDICAL,10,1,Everyone,Medical,3.78,1000,5.99,2015,5,26,3.0,0
GAME,8,0,Teen,Card,0.042,1000,0.0,2016,10,19,2.0,0
LIFESTYLE,19221,0,Everyone,Lifestyle,0.13,5000000,0.0,2018,5,24,3.8377519379844967,2
FAMILY,13,0,Everyone,Casual,0.12,1000,0.0,2016,5,30,3.0,0
PRODUCTIVITY,5,0,Everyone,Productivity,0.3928871096877502,10,0.0,2018,5,26,3.8377519379844967,0
TOOLS,5174,0,Everyone,Tools,0.047,100000,0.0,2018,4,26,4.0,2
HEALTH_AND_FITNESS,19,0,Everyone,Health & Fitness,0.096,1000,0.0,2017,11,29,4.3,0
BOOKS_AND_REFERENCE,1433233,0,Teen,Books & Reference,0.3928871096877502,1000000000,0.0,2018,8,3,3.8377519379844967,3
COMMUNICATION,0,0,Everyone,Communication,0.057,10,0.0,2018,7,27,4.1,0
NEWS_AND_MAGAZINES,11908,0,Everyone,News & Magazines,0.055,1000000,0.0,2018,7,1,4.1,2
GAME,29270,0,Everyone,Action,0.44,5000000,0.0,2018,7,25,4.0,3
TRAVEL_AND_LOCAL,459851,0,Everyone,Travel & Local,0.3928871096877502,10000000,0.0,2018,8,1,4.3,3
FAMILY,93,0,Everyone,Education,0.28,10000,0.0,2018,7,25,4.2,1
EVENTS,0,0,Everyone,Events,0.24,10,0.0,2018,5,14,4.1,0
BUSINESS,23055,0,Everyone,Business,0.3928871096877502,5000000,0.0,2018,6,8,3.8377519379844967,2
FAMILY,7443,0,Everyone,Casual,0.33,100000,0.0,2016,9,29,3.0,2
HEALTH_AND_FITNESS,265,0,Everyone,Health & Fitness,0.040999999999999995,100000,0.0,2015,8,13,3.0,1
DATING,5084,0,Mature 17+,Dating,0.096,100000,0.0,2018,8,3,4.1,2
FINANCE,54,0,Everyone,Finance,0.057999999999999996,5000,0.0,2018,3,20,4.0,1
SOCIAL,271445,0,Everyone,Social,0.099,5000000,0.0,2018,6,24,4.0,3
SOCIAL,4831125,0,Teen,Social,0.3928871096877502,1000000000,0.0,2018,7,26,3.8377519379844967,3
FINANCE,10697,0,Everyone,Finance,0.46,1000000,0.0,2018,7,18,4.1,2
PHOTOGRAPHY,88,0,Everyone,Photography,0.077,10000,0.0,2017,9,29,4.1,1
TOOLS,172,0,Everyone,Tools,0.3928871096877502,10000,0.0,2018,6,20,3.8377519379844967,1
PERSONALIZATION,557,1,Everyone,Personalization,0.74,10000,0.99,2018,7,27,4.0,1
